SBD,Toan1,Ly1,Hoa1,Sinh1,Van1,Su1,Dia1,Anh1,Hoc luc1,Toan2,Ly2,Hoa2,Sinh2,Van2,Su2,Dia2,Anh2,Hoc luc2,Toan,Van,Ly,Hoa,Sinh,Su,Dia,GDCD,Anh,A00,A01,B00,B08,C00,D00
10000004,7.5,8.9,6.9,8.7,7.6,8.7,8.5,9,K,8,8.6,7.6,8.2,7.6,8.8,8.8,9.2,G,9.4,7.5,7.5,5.25,5.5,0,0,0,9.6,22.15,26.5,20.15,24.5,7.5,26.5
10000006,8.9,9.2,8.3,8.7,8.4,8.5,8.4,8.8,G,8.7,9.4,7.9,8.5,7.8,8.6,8.4,9,G,8.8,6.5,8.25,6.25,5.75,0,0,0,9.8,23.3,26.85,20.8,24.35,6.5,25.1
10000025,8.3,8.6,7.7,8.3,8.1,8.6,8.3,7.8,G,8.7,9.4,8.4,8.7,7.9,7.8,8,8.6,G,9.6,7.25,8,5,5.5,0,0,0,9,22.6,26.6,20.1,24.1,7.25,25.85
10000032,9.4,9.1,9.3,8.3,8.1,8.6,8.7,9.3,G,9.6,9,9.4,9.8,8.4,9.3,9.3,9.1,G,9.2,6,8.25,8.25,5.75,0,0,0,9.8,25.7,27.25,23.2,24.75,6,25
10000047,8.3,8.8,8.1,8.4,8.1,8.1,8.8,8.6,G,8.3,8.6,8.2,8.6,8.7,8.2,8.3,9.1,G,9.4,8.5,0,0,0,6.5,7.25,9.75,9.8,9.4,19.2,9.4,19.2,22.25,27.7
10000063,7.1,8.9,6.9,8,7.2,8.1,7.7,8.7,K,7.6,9.2,6.3,6.8,6.9,6.6,7.5,8.6,K,9,6,6.75,6,6,0,0,0,9.8,21.75,25.55,21,24.8,6,24.8
10000067,8.5,8.9,8.4,7.6,7.5,8.5,8.7,8.4,G,8.4,8.8,9.4,8.1,7.7,6.6,8.2,9.1,G,9,6,8,9,4.25,0,0,0,9,26,26,22.25,22.25,6,24
10000068,8,7.9,6.8,7.9,7.4,8.4,7.6,8.2,G,8,9,7.2,8.4,7.3,6.6,6.9,9.1,G,8.8,6.25,8.5,4.5,3.75,0,0,0,8.8,21.8,26.1,17.05,21.35,6.25,23.85
10000069,8.8,8.1,7.6,7.6,7.7,8.3,7.8,8.6,G,8.1,9.1,6.9,8.8,7.3,7.6,7.9,8.4,G,9,6,7.25,4,6,0,0,0,9.4,20.25,25.65,19,24.4,6,24.4
10000079,8.4,9.4,8.7,9.3,8,9,8.8,7.8,G,8.8,9,9,9.6,7.8,8.6,8.3,8.4,G,9,6.75,7,8.75,8,0,0,0,8.6,24.75,24.6,25.75,25.6,6.75,24.35
10000105,8,8.2,7.8,8.4,7.9,8.3,8.3,7.7,G,8,7.9,8,8.4,8.4,7.2,7.7,8.2,G,9.2,7.25,7,7.5,3.25,0,0,0,7.2,23.7,23.4,19.95,19.65,7.25,23.65
10000135,8.2,8.7,9.5,8.5,8,8.7,8.6,7.2,G,8.3,8.6,9.1,8.5,7.8,8.3,8.1,7.7,G,8.6,7,7.25,9,6,0,0,0,8.8,24.85,24.65,23.6,23.4,7,24.4
10000146,8.1,7.1,8.4,8.8,8,8.2,8.6,7.9,G,8.6,8.1,9,9.6,7.8,8.4,8.3,8.8,G,9.2,7,5.25,9.5,9,0,0,0,8.8,23.95,23.25,27.7,27,7,25
10000151,7.8,7.8,7.6,7.9,8,8.5,8,7.3,K,8,8.9,7.1,8.9,7.9,7.3,7.5,8.4,G,8.2,8,0,0,0,4.25,7.75,9,9.8,8.2,18,8.2,18,20,26
10000152,8,8.1,8.8,7.8,8.4,8.8,8.4,8.1,G,8.7,7.8,7.3,8.7,8.6,7.7,8.5,8.7,G,8.8,8.5,0,0,0,5,8.75,7.5,8.6,8.8,17.4,8.8,17.4,22.25,25.9
10000185,8,8.9,8.5,8,7.4,8.3,8.1,7.3,G,8.4,8.7,9,9.1,7.1,7,8.3,8.3,G,9,6.75,7.5,8.25,6.25,0,0,0,8,24.75,24.5,23.5,23.25,6.75,23.75
10000190,8.3,8.7,7.3,8,7.6,8,8.3,8.4,G,8.1,9.5,7.6,8.3,7.2,7.2,8,8.9,G,8.4,6.25,8.5,5,5,0,0,0,9.6,21.9,26.5,18.4,23,6.25,24.25
10000207,8.7,8.7,8.9,8.3,8.5,8.8,8.5,8.6,G,9.1,9.1,9.1,9.3,8,8.3,8.8,8.7,G,9,7,8.25,9.25,6.25,0,0,0,9.6,26.5,26.85,24.5,24.85,7,25.6
10000220,7.5,6.2,8.7,8.8,7.4,8.6,8.7,8.1,K,7.5,7.5,8.9,9.6,8.4,7.3,8.9,8.8,K,8.4,7.75,4.25,7.5,7.75,0,0,0,9.8,20.15,22.45,23.65,25.95,7.75,25.95
10000223,8.1,8.4,8.5,8.1,6,8.5,8.6,9.4,K,8.4,9.2,8.8,8.9,6,7.1,7.9,9.3,K,9.2,3.25,8.25,7.25,7.75,0,0,0,10,24.7,27.45,24.2,26.95,3.25,22.45
10000266,7.7,9,8.3,9,7.8,8.4,8.9,8.9,K,8.4,9.3,8.7,8.4,7.8,8.3,8.6,9.2,G,9.2,8,8.25,6.5,4.25,0,0,0,9.8,23.95,27.25,19.95,23.25,8,27
10000294,7.7,8.4,7.8,8.3,7.6,7.7,8,8.1,K,8.2,7.7,8.7,9.8,7.7,6.8,8.1,7.7,G,8.2,6.5,4.5,8.25,8.75,0,0,0,7.2,20.95,19.9,25.2,24.15,6.5,21.9
10000300,8.1,8.7,8.2,8.2,7.7,8.3,8.7,7.6,G,8.4,8,8.9,9.3,7.6,6.6,8,7.8,G,9.4,7.5,4.5,8.5,9.5,0,0,0,8.6,22.4,22.5,27.4,27.5,7.5,25.5
10000315,7.7,8,6.4,8.2,6.8,7.9,8.7,7.5,K,8.3,9.3,8.6,8.9,6.6,7.5,7.4,7.6,G,9.6,5,8.75,5.25,5,0,0,0,9.2,23.6,27.55,19.85,23.8,5,23.8
